symbol	kind	module	exported	tags	file	line	container
ALLOWED_ORIGINS	variable	platform	false		netlify/functions/api.ts	85	
isAllowedOrigin	function	platform	false		netlify/functions/api.ts	98	
app	variable	platform	false		netlify/functions/api.ts	107	
_legacyDispatch	function	platform	false		netlify/functions/api.ts	259	
NetlifyV1Event	interface	platform	false		netlify/functions/api.ts	289	
NetlifyV1Context	interface	platform	false		netlify/functions/api.ts	298	
handler	function	platform	true		netlify/functions/api.ts	302	
TZ	variable	platform	false		netlify/functions/auto-checkout.ts	10	
today24	function	platform	false		netlify/functions/auto-checkout.ts	12	
hhmm24	function	platform	false		netlify/functions/auto-checkout.ts	15	
WorkHours	interface	platform	false		netlify/functions/auto-checkout.ts	18	
ScheduleEvent	interface	platform	false		netlify/functions/auto-checkout.ts	23	
_isScheduledCall	function	platform	false		netlify/functions/auto-checkout.ts	28	
_utcOffsetMs	function	platform	false		netlify/functions/auto-checkout.ts	32	
handler	variable	platform	true		netlify/functions/auto-checkout.ts	39	
handle	function	platform	true		netlify/functions/declarations.d.ts	5	
TZ	variable	hse	false		netlify/functions/hse-capa-overdue.ts	17	
todayInTz	function	hse	false		netlify/functions/hse-capa-overdue.ts	19	
ScheduleEvent	interface	hse	false		netlify/functions/hse-capa-overdue.ts	22	
_isScheduledCall	function	hse	false		netlify/functions/hse-capa-overdue.ts	27	
OverdueCapa	interface	hse	false		netlify/functions/hse-capa-overdue.ts	31	
handler	variable	hse	true		netlify/functions/hse-capa-overdue.ts	42	
ScheduleEvent	interface	hse	false		netlify/functions/hse-inspection-sweeps.ts	31	
_isScheduledCall	function	hse	false		netlify/functions/hse-inspection-sweeps.ts	32	
InspectionRow	interface	hse	false		netlify/functions/hse-inspection-sweeps.ts	36	
FindingRow	interface	hse	false		netlify/functions/hse-inspection-sweeps.ts	41	
uniqueUserIds	function	hse	false		netlify/functions/hse-inspection-sweeps.ts	47	
handler	variable	hse	true		netlify/functions/hse-inspection-sweeps.ts	53	
ScheduleEvent	interface	hse	false		netlify/functions/hse-ptw-sweeps.ts	27	
_isScheduledCall	function	hse	false		netlify/functions/hse-ptw-sweeps.ts	31	
ActivePermit	interface	hse	false		netlify/functions/hse-ptw-sweeps.ts	36	
uniqueUserIds	function	hse	false		netlify/functions/hse-ptw-sweeps.ts	50	
handler	variable	hse	true		netlify/functions/hse-ptw-sweeps.ts	65	
EventSeverity	type	platform	true		netlify/functions/lib/appEvents.ts	27	
EmitAppEventInput	interface	platform	true		netlify/functions/lib/appEvents.ts	29	
EmitAppEventResult	interface	platform	true		netlify/functions/lib/appEvents.ts	70	
buildEventRow	function	platform	true		netlify/functions/lib/appEvents.ts	84	
deliverEventNotifications	function	platform	true		netlify/functions/lib/appEvents.ts	111	
emitAppEvent	function	platform	true		netlify/functions/lib/appEvents.ts	145	
BLOCKED_EXTENSIONS	variable	platform	true		netlify/functions/lib/attachmentClassifier.ts	12	
ATTACHMENT_LIMITS	variable	platform	true		netlify/functions/lib/attachmentClassifier.ts	17	
MAX_ATTACHMENTS_PER_MESSAGE	variable	platform	true		netlify/functions/lib/attachmentClassifier.ts	24	
